release_speed,launch_angle,launch_speed,bat_speed,swing_length,pitch_type,balls,strikes,stand,p_throws,estimated_woba_using_speedangle,hit_outcome
94.5,11.0,109.2,76.9,7.3,FF,0,0,R,R,0.948,2
98.9,24.0,89.8,74.9,7.3,SI,1,0,R,R,0.165,2
98.3,13.0,83.8,51.7,5.3,FF,1,2,L,R,0.734,1
98.9,12.0,100.0,73.7,7.2,FF,3,2,L,R,0.921,1
81.3,9.0,89.7,74.1,7.6,CU,0,1,R,L,0.483,1
85.9,11.0,103.3,67.9,6.9,SL,1,1,L,L,0.901,1
86.6,24.0,97.1,67.5,7.6,CH,0,2,L,R,0.406,2
97.5,29.0,100.8,73.7,7.9,FF,2,2,R,R,1.0995333333333337,3
89.2,7.0,96.3,67.8,6.6,SI,2,0,L,L,0.509,1
90.2,29.0,71.0,72.5,7.1,SL,1,1,L,R,0.758,1
94.8,23.0,72.2,70.7,6.7,FF,1,2,L,R,0.912,1
94.5,31.0,101.4,67.7,6.1,FF,3,1,L,R,1.008457142857143,3
83.3,22.0,109.9,73.1,7.8,CH,1,0,R,L,1.7810434782608695,3
95.0,9.0,94.4,73.8,6.4,FF,1,2,L,R,0.587,1
93.5,12.0,109.2,75.4,7.0,SI,2,0,R,R,0.918,1
93.5,-5.0,108.7,79.0,7.5,FF,1,1,L,R,0.325,1
86.9,21.0,73.7,75.1,8.1,FC,3,2,R,R,0.899,1
83.4,35.0,73.7,70.4,7.7,CH,2,2,L,R,0.227,2
94.1,-1.0,104.4,69.3,6.0,SI,0,0,R,R,0.4,1
94.6,12.0,100.4,71.3,7.4,FF,3,1,L,R,0.921,1
95.0,15.0,90.5,59.7,5.5,FF,1,2,L,R,0.92,1
96.6,3.0,87.6,64.2,7.9,FF,2,2,R,R,0.306,1
90.2,-6.0,90.4,77.2,7.3,CH,2,1,R,R,0.247,1
85.2,35.0,112.9,83.9,9.6,ST,3,1,R,L,1.917,3
97.9,3.0,97.2,80.8,8.5,SI,2,2,R,L,0.445,1
92.5,17.0,103.0,73.1,6.9,FC,2,2,L,R,0.513,2
90.9,24.0,94.2,70.3,7.233333333333333,FC,3,2,L,R,0.211,2
91.7,-6.0,67.7,64.9,6.4,FC,0,1,L,R,0.066,1
90.7,4.0,108.6,76.1,6.9,FC,3,2,R,R,0.588,1
91.3,18.0,114.1,86.6,9.0,SI,1,0,R,R,1.4280000000000002,2
84.6,29.0,95.9,77.0,8.2,KC,0,1,R,R,0.5046428571428572,2
89.8,11.0,96.8,63.8,5.9,SI,0,1,L,L,0.819,1
92.9,20.0,93.6,72.5,7.4,FF,2,1,R,R,0.329,2
78.8,16.0,85.7,71.4,7.5,CH,2,1,L,R,0.928,1
92.0,16.0,75.0,64.7,6.2,SI,0,0,L,L,0.706,1
91.3,13.0,82.9,65.9,6.4,FF,0,2,R,L,0.678,1
93.9,10.0,97.3,78.3,8.0,SI,0,1,R,R,0.696,2
93.0,-14.0,95.0,70.30000000000001,6.6000000000000005,SI,0,2,L,L,0.193,1
92.8,-2.0,104.8,72.1,6.0,SI,0,0,R,L,0.423,1
92.2,9.0,105.3,75.76666666666667,7.8,SI,1,2,L,L,0.75,1
88.8,-6.0,105.1,71.9,7.1,FS,1,1,L,R,0.33,1
94.2,6.0,101.7,75.0,6.4,SI,2,0,L,R,0.601,1
95.4,-46.0,73.3,72.5,7.233333333333333,FF,2,2,R,R,0.173,1
91.5,12.0,97.4,74.9,7.7,FF,1,1,R,L,0.898,1
90.8,-1.0,94.1,75.5,7.8,FC,3,1,L,R,0.325,1
94.3,0.0,82.4,62.8,5.2,SI,1,0,L,R,0.173,1
95.6,23.0,106.3,74.6,7.3,FF,1,0,L,R,1.4394310344827588,2
86.8,-5.0,105.4,70.1,6.9,CH,1,0,R,L,0.321,1
87.5,22.0,108.3,75.0,7.2,CH,0,0,L,L,1.6141935483870968,3
88.8,-21.0,96.3,68.8,6.9,SL,1,1,L,R,0.149,1
86.0,2.0,95.5,70.7,7.7,SL,2,2,L,L,0.43,1
84.6,-19.0,91.4,73.1,7.1,KN,0,2,R,L,0.082,1
101.3,16.0,111.8,77.5,7.9,FF,2,2,R,R,0.9262857142857142,2
94.4,24.0,108.7,78.33333333333333,7.900000000000001,SI,1,1,R,R,2.0,3
93.8,19.0,91.1,76.5,7.3,SI,3,1,L,R,0.423,2
83.8,-1.0,101.0,67.1,6.8,SL,1,2,L,L,0.353,1
83.2,10.0,82.3,57.3,6.0,SL,0,0,R,R,0.431,1
